id;value;sensor;timestamp;uploaded
311;1.5;PM10;2017-02-22 00:03:18.157367;1
312;1.4;PM25;2017-02-22 00:03:18.157484;1
313;1.5;PM10;2017-02-22 00:03:40.883588;1
314;1.4;PM25;2017-02-22 00:03:40.883694;1
315;1.5;PM10;2017-02-22 00:04:03.547929;1
316;1.4;PM25;2017-02-22 00:04:03.548036;1
317;2.1;PM10;2017-02-22 00:04:26.150808;1
318;1.4;PM25;2017-02-22 00:04:26.150914;1
319;2.4;PM10;2017-02-22 00:04:48.775247;1
320;1.5;PM25;2017-02-22 00:04:48.775365;1
321;3.0;PM10;2017-02-22 00:05:11.356645;1
322;1.5;PM25;2017-02-22 00:05:11.356744;1
323;2.9;PM10;2017-02-22 00:05:34.224002;1
324;1.5;PM25;2017-02-22 00:05:34.224106;1
325;3.1;PM10;2017-02-22 00:05:56.804810;1
326;1.5;PM25;2017-02-22 00:05:56.804910;1
327;4.1;PM10;2017-02-22 00:06:19.334141;1
328;1.5;PM25;2017-02-22 00:06:19.334258;1
329;4.1;PM10;2017-02-22 00:06:41.894019;1
330;1.5;PM25;2017-02-22 00:06:41.894119;1
331;4.1;PM10;2017-02-22 00:07:04.542714;1
332;1.5;PM25;2017-02-22 00:07:04.542815;1
333;3.4;PM10;2017-02-22 00:07:27.131910;1
334;1.4;PM25;2017-02-22 00:07:27.132017;1
335;3.6;PM10;2017-02-22 00:07:49.741948;1
336;1.4;PM25;2017-02-22 00:07:49.742058;1
337;3.3;PM10;2017-02-22 00:08:12.437802;1
338;1.4;PM25;2017-02-22 00:08:12.437909;1
339;3.4;PM10;2017-02-22 00:08:35.280024;1
340;1.5;PM25;2017-02-22 00:08:35.280124;1
341;2.5;PM10;2017-02-22 00:08:58.358688;1
342;1.5;PM25;2017-02-22 00:08:58.358796;1
343;2.2;PM10;2017-02-22 00:09:20.952995;1
344;1.4;PM25;2017-02-22 00:09:20.953105;1
345;2.1;PM10;2017-02-22 00:09:43.618409;1
346;1.4;PM25;2017-02-22 00:09:43.618536;1
347;1.9;PM10;2017-02-22 00:10:06.242070;1
348;1.4;PM25;2017-02-22 00:10:06.242172;1
349;1.5;PM10;2017-02-22 00:10:29.074770;1
350;1.4;PM25;2017-02-22 00:10:29.074878;1
351;1.5;PM10;2017-02-22 00:10:51.756468;1
352;1.4;PM25;2017-02-22 00:10:51.756589;1
353;1.5;PM10;2017-02-22 00:11:14.337593;1
354;1.4;PM25;2017-02-22 00:11:14.337707;1
355;1.4;PM10;2017-02-22 00:11:37.384418;1
356;1.3;PM25;2017-02-22 00:11:37.384526;1
357;1.4;PM10;2017-02-22 00:11:59.944159;1
358;1.3;PM25;2017-02-22 00:11:59.944277;1
359;1.5;PM10;2017-02-22 00:12:22.561382;1
360;1.4;PM25;2017-02-22 00:12:22.561488;1
361;1.5;PM10;2017-02-22 00:12:45.183269;1
362;1.4;PM25;2017-02-22 00:12:45.183402;1
363;1.6;PM10;2017-02-22 00:13:07.748600;1
364;1.5;PM25;2017-02-22 00:13:07.748750;1
365;1.5;PM10;2017-02-22 00:13:30.340341;1
366;1.5;PM25;2017-02-22 00:13:30.340449;1
367;1.7;PM10;2017-02-22 00:13:52.989924;1
368;1.5;PM25;2017-02-22 00:13:52.990043;1
369;1.8;PM10;2017-02-22 00:14:15.782434;1
370;1.6;PM25;2017-02-22 00:14:15.782558;1
371;1.8;PM10;2017-02-22 00:14:38.383650;1
372;1.6;PM25;2017-02-22 00:14:38.383784;1
373;1.8;PM10;2017-02-22 00:15:00.938628;1
374;1.6;PM25;2017-02-22 00:15:00.938733;1
375;1.8;PM10;2017-02-22 00:15:23.701243;1
376;1.6;PM25;2017-02-22 00:15:23.701356;1
377;1.9;PM10;2017-02-22 00:15:46.289131;1
378;1.6;PM25;2017-02-22 00:15:46.289240;1
379;1.8;PM10;2017-02-22 00:16:08.883737;1
380;1.6;PM25;2017-02-22 00:16:08.883844;1
381;1.8;PM10;2017-02-22 00:16:31.880490;1
382;1.6;PM25;2017-02-22 00:16:31.880719;1
383;1.7;PM10;2017-02-22 00:16:54.477952;1
384;1.6;PM25;2017-02-22 00:16:54.478062;1
385;1.7;PM10;2017-02-22 00:17:17.035036;1
386;1.6;PM25;2017-02-22 00:17:17.035142;1
387;1.8;PM10;2017-02-22 00:17:39.615836;1
388;1.6;PM25;2017-02-22 00:17:39.615944;1
389;1.8;PM10;2017-02-22 00:18:02.282489;1
390;1.6;PM25;2017-02-22 00:18:02.282592;1
391;1.8;PM10;2017-02-22 00:18:24.919543;1
392;1.6;PM25;2017-02-22 00:18:24.919668;1
393;2.0;PM10;2017-02-22 00:18:47.548607;1
394;1.7;PM25;2017-02-22 00:18:47.548716;1
395;2.0;PM10;2017-02-22 00:19:10.482773;1
396;1.7;PM25;2017-02-22 00:19:10.482883;1
397;2.4;PM10;2017-02-22 00:19:33.193326;1
398;1.7;PM25;2017-02-22 00:19:33.193433;1
399;3.2;PM10;2017-02-22 00:19:55.763476;1
400;1.7;PM25;2017-02-22 00:19:55.763595;1
401;3.5;PM10;2017-02-22 00:20:18.410013;1
402;1.8;PM25;2017-02-22 00:20:18.410117;1
403;3.7;PM10;2017-02-22 00:20:41.011462;1
404;1.8;PM25;2017-02-22 00:20:41.011574;1
405;3.9;PM10;2017-02-22 00:21:03.727951;1
406;1.8;PM25;2017-02-22 00:21:03.728065;1
407;3.8;PM10;2017-02-22 00:21:26.491465;1
408;1.7;PM25;2017-02-22 00:21:26.491579;1
409;3.7;PM10;2017-02-22 00:21:49.080181;1
410;1.7;PM25;2017-02-22 00:21:49.080299;1
411;3.6;PM10;2017-02-22 00:22:11.699621;1
412;1.7;PM25;2017-02-22 00:22:11.699729;1
413;2.5;PM10;2017-02-22 00:22:34.275031;1
414;1.6;PM25;2017-02-22 00:22:34.275142;1
415;2.3;PM10;2017-02-22 00:22:56.853307;1
416;1.5;PM25;2017-02-22 00:22:56.853424;1
417;1.7;PM10;2017-02-22 00:23:19.511764;1
418;1.4;PM25;2017-02-22 00:23:19.511879;1
419;1.7;PM10;2017-02-22 00:23:42.541223;1
420;1.4;PM25;2017-02-22 00:23:42.541344;1
421;1.5;PM10;2017-02-22 00:24:05.280155;1
422;1.4;PM25;2017-02-22 00:24:05.280287;1
423;1.4;PM10;2017-02-22 00:24:27.917112;1
424;1.3;PM25;2017-02-22 00:24:27.917232;1
425;1.4;PM10;2017-02-22 00:24:50.509494;1
426;1.3;PM25;2017-02-22 00:24:50.509615;1
427;1.4;PM10;2017-02-22 00:25:13.196384;1
428;1.3;PM25;2017-02-22 00:25:13.196505;1
429;1.3;PM10;2017-02-22 00:25:35.851262;1
430;1.3;PM25;2017-02-22 00:25:35.851370;1
431;1.5;PM10;2017-02-22 00:25:58.802565;1
432;1.4;PM25;2017-02-22 00:25:58.802694;1
433;1.5;PM10;2017-02-22 00:26:21.393509;1
434;1.4;PM25;2017-02-22 00:26:21.393663;1
435;1.5;PM10;2017-02-22 00:26:44.040413;1
436;1.4;PM25;2017-02-22 00:26:44.040520;1
437;1.9;PM10;2017-02-22 00:27:06.618785;1
438;1.4;PM25;2017-02-22 00:27:06.618899;1
439;2.4;PM10;2017-02-22 00:27:29.207940;1
440;1.4;PM25;2017-02-22 00:27:29.208051;1
441;2.2;PM10;2017-02-22 00:27:51.773315;1
442;1.4;PM25;2017-02-22 00:27:51.773442;1
443;2.1;PM10;2017-02-22 00:28:14.364680;1
444;1.4;PM25;2017-02-22 00:28:14.364802;1
445;2.1;PM10;2017-02-22 00:28:37.361679;1
446;1.3;PM25;2017-02-22 00:28:37.361792;1
447;2.1;PM10;2017-02-22 00:29:00.013144;1
448;1.3;PM25;2017-02-22 00:29:00.013267;1
449;2.1;PM10;2017-02-22 00:29:23.063542;1
450;1.4;PM25;2017-02-22 00:29:23.063666;1
451;1.7;PM10;2017-02-22 00:29:45.664029;1
452;1.4;PM25;2017-02-22 00:29:45.664156;1
453;2.1;PM10;2017-02-22 00:30:08.305426;1
454;1.4;PM25;2017-02-22 00:30:08.305547;1
455;2.1;PM10;2017-02-22 00:30:30.922744;1
456;1.4;PM25;2017-02-22 00:30:30.922866;1
457;2.2;PM10;2017-02-22 00:30:54.080441;1
458;1.4;PM25;2017-02-22 00:30:54.080547;1
459;2.3;PM10;2017-02-22 00:31:16.607464;1
460;1.5;PM25;2017-02-22 00:31:16.607567;1
461;2.8;PM10;2017-02-22 00:31:39.176135;1
462;1.5;PM25;2017-02-22 00:31:39.176251;1
463;3.0;PM10;2017-02-22 00:32:01.744844;1
464;1.5;PM25;2017-02-22 00:32:01.744943;1
465;3.0;PM10;2017-02-22 00:32:24.452336;1
466;1.5;PM25;2017-02-22 00:32:24.452435;1
467;3.0;PM10;2017-02-22 00:32:47.050156;1
468;1.6;PM25;2017-02-22 00:32:47.050263;1
469;2.2;PM10;2017-02-22 00:33:09.813347;1
470;1.6;PM25;2017-02-22 00:33:09.813475;1
471;2.3;PM10;2017-02-22 00:33:32.731708;1
472;1.6;PM25;2017-02-22 00:33:32.731810;1
473;2.3;PM10;2017-02-22 00:33:55.316827;1
474;1.6;PM25;2017-02-22 00:33:55.316933;1
475;2.2;PM10;2017-02-22 00:34:17.916547;1
476;1.6;PM25;2017-02-22 00:34:17.916656;1
477;1.7;PM10;2017-02-22 00:34:40.497402;1
478;1.6;PM25;2017-02-22 00:34:40.497513;1
479;2.4;PM10;2017-02-22 00:35:03.095655;1
480;1.6;PM25;2017-02-22 00:35:03.095761;1
481;2.4;PM10;2017-02-22 00:35:25.636590;1
482;1.6;PM25;2017-02-22 00:35:25.636693;1
483;2.3;PM10;2017-02-22 00:35:48.283848;1
484;1.5;PM25;2017-02-22 00:35:48.283974;1
485;2.3;PM10;2017-02-22 00:36:10.835627;1
486;1.5;PM25;2017-02-22 00:36:10.835765;1
487;3.0;PM10;2017-02-22 00:36:33.540189;1
488;1.5;PM25;2017-02-22 00:36:33.540290;1
489;2.9;PM10;2017-02-22 00:36:56.105447;1
490;1.5;PM25;2017-02-22 00:36:56.105547;1
491;3.0;PM10;2017-02-22 00:37:18.783562;1
492;1.5;PM25;2017-02-22 00:37:18.783662;1
493;2.8;PM10;2017-02-22 00:37:41.435101;1
494;1.5;PM25;2017-02-22 00:37:41.435206;1
495;2.2;PM10;2017-02-22 00:38:04.351234;1
496;1.5;PM25;2017-02-22 00:38:04.351339;1
497;2.2;PM10;2017-02-22 00:38:26.897820;1
